PARAM,AVG_TIME,RUN,FAILED
1,21.935,1,0
1,19.124,2,0
1,18.988,3,0
10,21.917,1,0
10,26.921,2,0
10,18.737,3,0
20,23.436,1,0
20,28.575,2,0
20,23.182,3,0
50,34.194,1,0
50,30.553,2,0
50,30.314,3,0
100,28.258,1,0
100,26.325,2,0
100,35.276,3,0
1000,25.844,1,0
1000,24.103,2,0
1000,25.753,3,0
