PARAM,AVG_TIME,RUN,FAILED
10,610.529,1,0
10,275.983,2,0
10,285.516,3,0
100,646.113,1,0
100,376.109,2,0
100,359.030,3,0
1000,654.926,1,0
1000,513.460,2,0
1000,435.390,3,0
